city,year,field,Period,block,plot,covercrop,seq2,depth,pH,P,SOM,DB,WAS,TN,NO3,RP
Brownstown,2002,2,corn,2,22,mix,1,5-10cm,6.4,29,27.4,1.5,53.2,0.12,2.6,957
Brownstown,2002,2,corn,2,23,rye,1,5-10cm,5.29,32,26.9,1.39,43.2,0.11,25.3,1063
Brownstown,2002,2,corn,2,24,fallow,0,5-10cm,4.76,39,24.2,1.3,37.5,0.14,0.6,971
Brownstown,2002,2,corn,3,25,vetch,1,5-10cm,5.14,34,21.6,1.27,43.3,0.12,8,1018
Brownstown,2002,2,corn,3,26,mix,1,5-10cm,6.18,31,21.8,1.29,53.1,0.1,15.7,1002
Brownstown,2002,2,corn,3,27,rye,1,5-10cm,5.44,37,23.8,1.26,48.5,0.12,5.4,981
Brownstown,2002,2,corn,3,28,fallow,0,5-10cm,6.21,35,32.2,1.39,52.2,0.12,0.6,1073
Brownstown,2002,2,corn,4,29,mix,1,5-10cm,6.52,33,25.7,1.35,55.9,0.12,0.7,1098
Brownstown,2002,2,corn,4,30,rye,1,5-10cm,5.6,34,25.1,1.42,56.8,0.1,0.7,1010
Brownstown,2002,2,corn,4,31,fallow,0,5-10cm,5.72,44,23.7,1.35,53.5,0.11,0.2,911
Brownstown,2002,2,corn,4,32,vetch,1,5-10cm,5.09,45,22.9,1.38,51.9,0.12,1.1,992
Brownstown,2002,1,soybean,1,1,mix,1,10-15cm,6.69,29,31.2,1.6,34,0.1,3.2,1111
Brownstown,2002,1,soybean,1,2,fallow,0,10-15cm,6.27,26,24.1,1.66,30.8,0.1,0.5,1042
Brownstown,2002,1,soybean,1,3,vetch,1,10-15cm,5.52,30,22.1,1.55,26.9,0.1,0.3,1098
Brownstown,2002,1,soybean,1,4,rye,1,10-15cm,6.15,27,29.9,1.57,36.9,0.1,0.2,1142
Brownstown,2002,1,soybean,2,5,rye,1,10-15cm,5.91,29,24.9,1.44,41.1,0.1,0.2,1176
Brownstown,2002,1,soybean,2,6,mix,1,10-15cm,5.55,49,20.9,1.49,31.9,0.1,0.5,886
Brownstown,2002,1,soybean,2,7,fallow,0,10-15cm,5.86,32,27.2,1.5,34.3,0.1,0.5,1064
Brownstown,2002,1,soybean,2,8,vetch,1,10-15cm,6.16,18,30.2,1.49,30.6,0.1,0.4,940
Brownstown,2002,1,soybean,3,9,rye,1,10-15cm,6.81,27,20.9,1.57,35.6,0.1,0.4,1184
Brownstown,2002,1,soybean,3,10,vetch,1,10-15cm,6.01,20,21.5,1.65,24.2,0.1,0.2,1310
Brownstown,2002,1,soybean,3,11,fallow,0,10-15cm,5.34,41,27.6,1.65,27.7,0.1,0.4,1323
Brownstown,2002,1,soybean,3,12,mix,1,10-15cm,5.62,38,29.2,1.57,36.1,0.1,0.3,1449
Brownstown,2002,1,soybean,4,13,fallow,0,10-15cm,5.33,36,30.2,1.59,31.8,0.1,3,1287
Brownstown,2002,1,soybean,4,14,rye,1,10-15cm,5.52,62,23.1,1.61,35,0.1,0.3,1338
Brownstown,2002,1,soybean,4,15,vetch,1,10-15cm,5.98,26,28.2,1.51,35.8,0.1,0.5,1294
Brownstown,2002,1,soybean,4,16,mix,1,10-15cm,6.4,33,25.6,1.63,40.8,0.1,0.7,1308
Brownstown,2002,2,corn,1,17,vetch,1,10-15cm,5.55,27,24.6,1.52,33.7,0.1,2.5,1268
Brownstown,2002,2,corn,1,18,fallow,0,10-15cm,6.19,32,20,1.49,48,0.1,0.5,1166
Brownstown,2002,2,corn,1,19,rye,1,10-15cm,6.11,30,20.2,1.6,67.5,0.11,3.5,1288
Brownstown,2002,2,corn,1,20,mix,1,10-15cm,6.66,29,25,1.66,44.8,0.1,0.7,1425
Brownstown,2002,2,corn,2,21,vetch,1,10-15cm,6.36,24,26.6,1.63,51.8,0.1,0.3,1283
Brownstown,2002,2,corn,2,22,mix,1,10-15cm,6.15,27,25.6,1.58,38,0.1,5.2,1392
Brownstown,2002,2,corn,2,23,rye,1,10-15cm,5.97,27,20.1,1.66,42.3,0.1,0.2,1396
Brownstown,2002,2,corn,2,24,fallow,0,10-15cm,5.61,25,20.2,1.57,27.5,0.12,0.7,1186
Brownstown,2002,2,corn,3,25,vetch,1,10-15cm,5.39,23,21.1,1.51,34.6,0.1,1.7,1418
Brownstown,2002,2,corn,3,26,mix,1,10-15cm,6.4,30,19.8,1.57,33.9,0.1,0.9,1370
Brownstown,2002,2,corn,3,27,rye,1,10-15cm,6.29,27,21,1.58,43,0.1,1.4,1255
Brownstown,2002,2,corn,3,28,fallow,0,10-15cm,6.6,34,25.6,1.54,35.4,0.1,1.3,1373
Brownstown,2002,2,corn,4,29,mix,1,10-15cm,6.43,34,22.4,1.64,52.4,0.1,0.3,1449
Brownstown,2002,2,corn,4,30,rye,1,10-15cm,5.73,35,21.3,1.54,40.4,0.1,0.3,1339
Brownstown,2002,2,corn,4,31,fallow,0,10-15cm,6.08,43,19.9,1.49,42.6,0.1,0.5,1168
Brownstown,2002,2,corn,4,32,vetch,1,10-15cm,5.49,27,20.4,1.51,43.2,0.1,0.3,1301
Urbana,2002,1,corn,1,1,mix,1,10-15cm,5.14,31,43.2,1.21,28.6,0.16,118,1448
Urbana,2002,1,corn,1,2,fallow,0,10-15cm,5.44,24.5,32.6,1.37,21.2,0.14,118,1497
Urbana,2002,1,corn,1,3,vetch,1,10-15cm,6.02,14.5,27.1,1.57,32.5,0.17,103,1308
Urbana,2002,1,corn,1,4,rye,1,10-15cm,5.32,12.5,30.6,1.45,18.5,0.18,127,1245
Urbana,2002,1,corn,2,5,rye,1,10-15cm,5.3,17.3,30.3,1.41,31.2,0.11,28.3,1271
Urbana,2002,1,corn,2,6,mix,1,10-15cm,5.36,24.5,27.5,1.42,26.8,0.18,89,1561
Urbana,2002,1,corn,2,7,fallow,0,10-15cm,4.95,44.5,33.2,1.39,17.7,0.14,80.8,1623
Urbana,2002,1,corn,2,8,vetch,1,10-15cm,5.29,36.5,35.4,1.37,26.9,1.28,19,1295
Urbana,2002,1,corn,3,9,rye,1,10-15cm,5.63,37,35,1.46,20.7,1.37,18.3,1304
Urbana,2002,1,corn,3,10,vetch,1,10-15cm,5.43,24.5,32.2,1.45,25.3,1.07,2.42,1337
Urbana,2002,1,corn,3,11,fallow,0,10-15cm,5.44,34.5,28.9,1.4,21.5,1.22,28.1,1480
